Kanton,Durchschnittliche_Ja_Prozente,Rang
bs,53.28046511627907,1
ti,53.00558139534884,2
ge,52.326511627906974,3
zh,51.550000000000004,4
ne,51.11325581395349,5
ju,50.22392857142857,6
bl,50.05744186046511,7
be,48.780116279069766,8
vd,48.63430232558139,9
so,48.563139534883724,10
sh,48.52872093023256,11
gr,47.03453488372093,12
zg,46.900813953488374,13
sg,46.66686046511628,14
tg,46.485116279069764,15
fr,46.328139534883725,16
ag,46.218139534883726,17
gl,45.94523255813954,18
lu,45.92779069767442,19
ar,44.645,20
vs,44.18720930232558,21
nw,43.46825581395349,22
ur,43.45755813953488,23
sz,42.62453488372093,24
ow,42.13755813953488,25
ai,39.3493023255814,26
